Route ID,Stop ID,Stop Name,Latitude,Longitude
MTA%20NYCT_Q3,MTA_904253,LEFFERTS BLVD/AIRTRAIN STATION,40.66151,-73.824107
MTA%20NYCT_Q3,MTA_904254,LEFFERTS BLVD/AIRTRAIN STATION,40.66158,-73.824645
MTA%20NYCT_Q3,MTA_904982,150 AV/148 ST,40.661472,-73.792461
MTA%20NYCT_Q4,MTA_500340,168 ST/DOUGLAS AV,40.703961,-73.790979
MTA%20NYCT_Q4,MTA_500367,MERRICK BLVD/107 AV,40.699708,-73.788558
MTA%20NYCT_Q4,MTA_500368,MERRICK BLVD/108 AV,40.698415,-73.787138
MTA%20NYCT_Q4,MTA_500369,MERRICK BLVD/169 PL,40.697842,-73.785946
MTA%20NYCT_Q4,MTA_500370,MERRICK BLVD/109 AV,40.696743,-73.78393
MTA%20NYCT_Q4,MTA_500371,MERRICK BLVD/110 AV,40.695678,-73.782653
MTA%20NYCT_Q4,MTA_500372,MERRICK BLVD/111 AV,40.694133,-73.781357
MTA%20NYCT_Q4,MTA_500374,LINDEN BLVD/172 ST,40.691805,-73.778278
MTA%20NYCT_Q4,MTA_500375,LINDEN BLVD/174 ST,40.692361,-73.775957
MTA%20NYCT_Q4,MTA_500376,LINDEN BLVD/175 PL,40.692788,-73.774185
MTA%20NYCT_Q4,MTA_500377,LINDEN BLVD/177 ST,40.69299,-73.77232
MTA%20NYCT_Q4,MTA_500378,LINDEN BLVD/178 ST,40.692659,-73.770053
MTA%20NYCT_Q4,MTA_500380,LINDEN BLVD/NEWBURG ST,40.692043,-73.765589
MTA%20NYCT_Q4,MTA_500382,LINDEN BLVD/FARMERS BLVD,40.691688,-73.761932
MTA%20NYCT_Q4,MTA_500384,LINDEN BLVD/192 ST,40.692483,-73.759095
MTA%20NYCT_Q4,MTA_500385,LINDEN BLVD/195 ST,40.693205,-73.756481
MTA%20NYCT_Q4,MTA_500386,LINDEN BLVD/197 ST,40.693652,-73.754851
MTA%20NYCT_Q4,MTA_500387,LINDEN BLVD/199 ST,40.694109,-73.753182
MTA%20NYCT_Q4,MTA_500388,LINDEN BLVD/201 ST,40.69457,-73.751525
MTA%20NYCT_Q4,MTA_500389,LINDEN BLVD/202 ST,40.69498,-73.750124
MTA%20NYCT_Q4,MTA_500390,LINDEN BLVD/204 ST,40.695504,-73.748175
MTA%20NYCT_Q4,MTA_500391,LINDEN BLVD/FRANCIS LEWIS BLVD,40.696149,-73.74596
MTA%20NYCT_Q4,MTA_500392,LINDEN BLVD/SPRINGFIELD BLVD,40.696027,-73.743194
MTA%20NYCT_Q4,MTA_500393,LINDEN BLVD/219 ST,40.695262,-73.740792
